Designator,Mid X,Mid Y,Rotation,Layer
C1,135.318051,-87.314097,0.0,top
D1,138.518051,-94.984097,90.0,top
L1,143.340309,-81.479231,90.0,top
R1,139.796309,-88.424231,270.0,top
U1,138.218051,-81.734097,270.0,top
