Designator,Mid X,Mid Y,Rotation,Layer
C1,119.68,-113.83,270.0,top
D1,126.7,-111.9875,90.0,top
L1,132.644,-93.16,90.0,top
R1,125.2,-116.3,0.0,top
U1,125.705,-107.5,180.0,top
